key;value
363.text;{jump}\n{gift} - Donne +2/+2 à la prochaine créature avec {jump} que vous invoquez.
364.name;Voix de la vérité
364.text;{gift} - Restaure l'attaque et la vie de base d'une créature.
365.name;Héraut de guerre
365.text;{combat} - Donne +1/+1 à la prochaine créature avec {combat} que vous invoquez.
366.name;Guide céleste
366.text;{flying}\nLes créatures alliées invoquées à côté de cette créature gagnent {dash|2} et {flying}.
367.name;Gardienne divine
367.text;{divine}\nQuand vous devriez subir des dégâts mortels, annulez-les et détruisez cette créature à la place.
368.name;Commandement de l'Empereur
368.text;{options|Donne à une créature -2/-1.|Inflige 3 dégâts à une structure.|Gagnez 4 PV.}\n- Donne -2/-1 à une créature\n- Inflige 3 dégâts à une structure\n- Gagnez 4 PV.
369.name;Illusion des grandeurs
369.text;{charge|2}\nTant que cette carte est dans votre deck ou votre main, elle gagne autant d'attaque et de points de vie que les créatures que vous invoquez et qui coûtent  {faeria|1} ou moins.
370.name;Tisseuse des Bois Enfouis
370.text;{gift} - Se bat contre une créature ennemie.
371.name;Dîner de Krog
371.text;Votre Krog coûte {faeria|7} de moins. Quand vous invoquez Krog, détruisez cette créature.\n{gift} - Si Krog est mort ou est dans votre deck, piochez-le.
372.name;Sourire de Iona
372.text;Piochez les 2 prochaines créatures avec {flying} dans votre deck.
403.name;Cristal obscur
403.text;Draine 4 PV à votre adversaire, inflige 3 points de dégâts à toutes les créatures ennemies. Piochez 2 cartes.
404.name;Corn'yak Corne-Brume
404.text;Invoquez trois <b>Yaks des Prairies en Colère</b> 2/4 avec {haste}.
405.name;Arme astrale
405.text;{flying}\n{gift} - Détruit toutes les créatures, structures et terrains adjacents.
406.name;Ocarina
406.text;Rejouez après ce tour.
407.name;Lampe du génie
407.text;{options|Ajoute 3 cartes vertes aléatoires à votre main. Leur coût est réduit de {faeria|3}.|Ajoute 3 cartes bleues aléatoires à votre main. Leur coût est réduit de {faeria|3}.|Ajoute 3 cartes rouges aléatoires à votre main. Leur coût est réduit de {faeria|3}.|Ajoute 3 cartes jaunes aléatoires à votre main. Leur coût est réduit de {faeria|3}.}\nChoisissez une couleur. Ajoute 3 cartes aléatoires de cette couleur à votre main. Leur coût est réduit de {faeria|3}.
408.name;Urne de Gabria
408.text;Piochez 2 cartes et gagnez {faeria|2}.
409.name;Miroir d'Iona
409.text;Ajoute deux exemplaires du dernier <b>Trésor</b> joué par l'adversaire à votre main.
410.name;Golem Pierre-de-Sang
410.text;{production} - Crée {faeria|1} dans chaque puits.\nInflige 1 point de dégât à votre adversaire à chaque récolte de faeria.
411.name;Calice du palais
411.text;Donne +6/+6 répartis aléatoirement entre les créatures alliées.
412.name;Tambour d'Eredon
412.text;Donne à toutes vos créatures +2/+2, peut-importe où elles se trouvent.
413.name;Attrape-nuages
413.text;Les créatures alliées gagnent {flying}, {jump} et +1/+0.
414.name;Anneau de domination
414.text;{options|Transforme un terrain en forêt. Vous en prenez le contrôle.|Transforme un terrain en lac. Vous en prenez le contrôle.|Transforme un terrain en montagne. Vous en prenez le contrôle.|Transforme un terrain en désert. Vous en prenez le contrôle.}\nTransforme un terrain en terrain de la couleur de votre choix. Vous en prenez le contrôle.
415.name;La Larme du Monde
415.text;Transforme une créature qui a attaqué une divinité durant ce tour en <b>Dévoreur Céleste</b> 10/10 avec {flying}.
416.name;Yak mécanique
416.text;{dash|2}
417.name;Automate de l'équinoxe
417.text;{gift} - Vous rend 6 PV.\n{last_words} - Inflige 6 points de dégâts à votre adversaire.
418.name;Rose de Magda
418.text;Prenez le contrôle d'une créature ennemie.
419.name;Théière d'Aurora
419.text;Les PV et l'attaque de base de toutes les créatures alliées deviennent égaux à 6/6.
420.name;Pierre de bonne aventure
420.text;Glisse 3 <b>Trésors</b> aléatoires n'importe où dans votre deck.
421.name;Ressources Insoupçonnées
421.text;Donne {flying}, {charge|3} et +4/+4 à une créature.
422.name;Gardien du Néant
422.text;{gift} - Détruit votre deck.
423.name;Dragon de Cristal
423.text;{flying}, {charge|3}
424.name;Rubis d'Explosion de Flammes
424.text;{options|Inflige 3 points de dégâts.|Inflige 3 points de dégâts à toutes les cibles.}\n- Inflige 3 points de dégâts.\n- Inflige 3 points de dégâts à toutes les cibles.
425.name;Marteau de la Destruction
425.text;Inflige 5 points de dégâts. Remet le <b>Marteau</b> n'importe où dans votre deck.
426.name;Ébranleur de Terrefeu
426.text;{gift} - Inflige 2 points de dégâts à tous les ennemis. Gagne +2/+2 pour chaque ennemi détruit.
427.name;Appel de la Mort
427.text;Détruit une créature. Son contrôleur gagne des faeria équivalents à son coût et pioche 2 cartes.
428.name;Foudre en Bouteille
428.text;Inflige 6 points de dégâts à une créature et 3 points de dégâts à tous les ennemis adjacents.
429.name;Lame Dansante
429.text;{flying}, {jump}\nÀ la fin de votre tour, inflige 3 points de dégâts à tous les ennemis adjacents.
430.name;Faux de la Ruine
430.text;Détruit une créature. Invoque une <b>Ombre du Carnage</b> 6/1 à sa place.
431.name;Pie Sertie
431.text;{flying}, {haste}\nChaque fois que cette créature attaque une divinité, ajoutez un <b>Trésor</b> aléatoire à votre main.
432.name;Roue du Chaos
432.text;{options|Détruit 2 terrains inoccupés.|Détruit une créature à l'attaque inférieure ou égale à 5.|Gagnez 7 PV.}\n- Détruit 2 terrains inoccupés.\n- Détruit une créature à l'attaque inférieure ou égale à 5.\n- Gagnez 7 PV.
433.name;Médaillon d'Ulani
433.text;Choisissez une créature alliée. Toutes vos créatures en deviennent des copies.
501.name;Éclaireur intrépide
501.text;{gift} - Ajoute une carte <b>Explorer</b> à la main de chaque joueur.
502.name;Fleur de cristal
502.text;{gift} - {swallow} a creature.\nAt the end of your turns, deal 1 damage to this structure.
503.name;Yakkapulte
503.text;{ranged_attack}\nÀ chaque fois que cette créature attaque, invoquez un <b>Yak en colère</b> 2/2 sur un espace adjacent à sa cible.
504.name;Goki, Mineur Bienveillant
504.text;{gift} - Ajoute un trésor au hasard dans la main de votre allié.
505.name;Célestacé azuré
505.text;{flying}, {charge|3}\nCan't harvest faeria.\n{gift} - {swallow} a creature.
508.name;Graine du Paradis
508.text;{flying}, {dash|1}\n{gift} - {options|Quand cette créature récolte sur l'océan, elle meurt et crée un lac.|Quand cette créature récolte sur l'océan, elle meurt et crée une forêt.|Quand cette créature récolte sur l'océan, elle meurt et crée une montagne.|Quand cette créature récolte sur l'océan, elle meurt et crée un désert.}\nQuand cette créature récolte sur l'océan, elle meurt et crée un terrain de la couleur choisie.\n
510.name;Don des Rakoa
510.text;Donne +1/+1 à une créature, autant de fois que le nombre de créatures que vous contrôlez.
512.name;Fugoro, Marchand de Merveilles
512.text;{jump}\n{gift} - {options|Piochez une <b>Urne de Gabria</b>|Piochez un <b>Dragon de cristal</b>|Piochez un <b>Médaillon d'Ulani</b>}\n- Piochez une <b>Urne de Gabria</b>\n- Piochez un <b>Dragon  de cristal</b>\n- Piochez un <b>Médaillon d'Ulani</b>
513.name;Fugu sauteur
513.text;{jump}\n{gift} - Gagne +3/+3 si vous contrôlez 8 terrains spéciaux ou plus.
514.name;Crochet-grappin
514.text;Donne {ranged_attack} à une créature pendant ce tour. Après son attaque, vous pouvez la déplacez sur un espace adjacent à sa cible.
515.name;Fêtard Rakoan
515.text;{last_words} - Gagnez autant de faeria que l'attaque de cette créature.
516.name;CAP-10, Pirate du Ciel
516.text;{combat} - Piochez un <b>Don de l'acier</b> dans votre deck. S'il n'en contient pas, mélangez-en un dedans.
517.name;Saumon fulgurant
517.text;{flying}, {haste}, {charge|2}\nNe peut pas récolter.\nÀla fin de votre tour, cette créature est détruite et vous piochez une carte.
518.name;Chevaucheur de Manta
518.text;{flying}, {charge|2}\n{last_words} - Invoquez une <b>Manta</b> 2/2 avec {flying} et {charge|2} à l'endroit où il est mort.
519.name;Istanu, Lumière Éternelle
519.text;{flying}, {charge|3}\n{last_words} - Une créature alliée aléatoire devient le nouvel <b>Istanu</b>. Il ne peut pas attaquer lors de ce tour.
520.name;Poulpe évolutif
520.text;{options|Gagne +2/+0.|Gagne +0/+2.|Gagne {jump}.|Gagne {taunt}.}, deux fois au choix :\n- Gagne +2/+0\n- Gagne +0/+2\n- Gagne {jump}\n- Gagne {taunt}
521.name;Cracheur de grenouilles
521.text;{gift} - Combat une créature ennemie. Invoquez une <b>Grenouille</b> 2/2 avec {jump} sur un espace adjacent à sa cible.
522.name;Sentier du Paradis
522.text;{options|Créez une forêt.|Créez un lac.|Créez une montagne.|Créez un désert.} - Créez un terrain spécial.\nLes créatures invoquées sur ce terrain lors de ce tour gagnent +2/+0.
524.name;Skyward Swordfish
524.text;{flying}, {taunt}, {dash|1}
525.name;Yak du ciel
525.text;{flying}\nPeut être invoqué sur toute case adjacente à une créature alliée.\n{gift} - Invoquez autant de <b>Yaks du ciel</b> que de <b>Yaks du ciel</b>alliés morts durant la partie.
528.name;Envolée des Mantas
528.text;Quand vous piochez cette carte, copiez-la.\nInvoquez une <b>Manta</b> 2/2 avec {flying} et {charge|2}.
529.name;Remorqueur d'Outreciel
529.text;{flying}, {dash|1}\nQuand cette créature quitte un terrain, elle l'emmène avec elle.
530.name;Chef de clan Rakoan
530.text;{dash|1}\nDonne +2/+0 aux créatures alliées adjacentes.
531.name;Anémone céleste
531.text;{flying}, {taunt}\nPeut être invoquée n'importe où.
532.name;Ulani, Chamane d'Outreciel
532.text;{gift} - Piochez une carte verte, une carte bleue, une carte rouge et une carte jaune dans votre deck.
